OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
10366416,722242319,IDAHO GREATER TIRES LLC,HIGHWAY 95 N,GRANGEVILLE,ID,Idaho,83530,5196,44132001,553123,529,,0,,5,,,2,PointAddress,M,100,INFOGROUP,0
728313,167189851,EXXON,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1348,44719005,554101,1680,2,1547116,2,5,K,,2,PointAddress,M,100,INFOGROUP,0
9855318,719124333,PHILLIPS 66,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2329,44719005,554101,1680,2,405402483,2,5,S,,2,PointAddress,M,100,INFOGROUP,0
12862354,958056699,DEPOT EXPRESS,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2329,44719005,554101,2016,,0,,6,,,1,PointAddress,M,100,INFOGROUP,0
4465848,426984435,NORTHWESTERN STAGE LINES,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,5192,44719007,554103,7391,,0,,22,,,5,PointAddress,M,100,INFOGROUP,0
2609322,403861438,DEPOT,HIGHWAY 95 N,GRANGEVILLE,ID,Idaho,83530,5348,44719008,554110,2016,,0,,6,D,,1,PointAddress,M,100,INFOGROUP,0
10084226,720698793,ELECTRIC CHARGING STATION,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1358,44719010,554112,0,,0,,0,JT,P,,StreetAddress,M,100,INFOGROUP,4
12668392,900788233,TACKETT'S SAW SVC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2319,44122801,557101,771,,0,,4,,,1,PointAddress,M,100,INFOGROUP,0
12053212,806019675,FREI AVIATION LLC,DENVER CEMETERY RD,GRANGEVILLE,ID,Idaho,83530,5205,44122815,559905,386,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
6886009,591672480,ANDERSON AEROMOTIVE INC,N D ST,GRANGEVILLE,ID,Idaho,83530,1138,44122814,559908,5397,,0,,28,,,5,PointAddress,M,100,INFOGROUP,0
921310,213590649,ROBERTS TREE SVC,,GRANGEVILLE,ID,Idaho,83530,,44211016,571201,180,,0,,1,,,1,Postal,M,100,INFOGROUP,1
728342,167191188,LINDSLEY'S FURNITURE & APPLS,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2233,44211012,571216,1971,,0,,11,,,4,PointAddress,M,100,INFOGROUP,0
3719023,418101184,KRETZMANN & SONS FINE CABINETS,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5011,33711002,571236,359,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
7338957,643236094,LENORA'S CUSTOM CABINET,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5008,33711002,571236,180,,0,,1,,,1,PointAddress,M,100,INFOGROUP,0
7408292,649986999,2-B CABINETS,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1356,33711002,571236,538,,0,,3,,,1,StreetAddress,M,100,INFOGROUP,0
6086956,487844367,BETTIE'S FLOOR & DECOR,E NORTH ST,GRANGEVILLE,ID,Idaho,83530,1836,44221010,571306,452,,0,,3,,,1,StreetAddress,M,100,INFOGROUP,0
5469869,439030936,QUILT TREASURES,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1932,44229957,571911,179,,0,,2,,,2,PointAddress,M,100,INFOGROUP,0
7543924,662461417,BURLY STORAGE,MILL CREEK LN,GRANGEVILLE,ID,Idaho,83530,5105,44314245,573402,595,,0,,4,,,3,PointAddress,M,100,INFOGROUP,0
7543925,662461425,MAC GURUS,MILL CREEK LN,GRANGEVILLE,ID,Idaho,83530,5105,44314245,573402,595,,0,,4,,,3,PointAddress,M,100,INFOGROUP,0
7232130,629980335,COMPUTER MAN,POWERLINE RD,GRANGEVILLE,ID,Idaho,83530,5238,44314241,573407,149,,0,,1,,,1,PointAddress,M,100,INFOGROUP,0
